Division,MatchDate,HomeTeam,AwayTeam,FTResult,EloDiff,FormDiff,H2H,IsDerby
E1,2000-09-13,Sheffield Weds,Nottm Forest,2,77.28999999999996,-0.1999999999999993,0.0,0
E1,2000-09-15,Sheffield United,Blackburn,1,-80.47000000000003,-3.3999999999999995,0.0,0
D1,2000-09-15,Kaiserslautern,FC Koln,1,58.22000000000003,-1.0,0.0,0
E1,2000-09-16,Barnsley,QPR,1,36.59999999999991,-2.4000000000000004,0.0,0
E1,2000-09-16,Bolton,Portsmouth,1,165.05999999999995,6.799999999999999,0.0,0
E1,2000-09-16,Burnley,Grimsby,0,34.549999999999955,1.8000000000000003,0.0,0
E1,2000-09-16,Gillingham,Huddersfield,1,-61.830000000000155,2.6000000000000005,0.0,0
E1,2000-09-16,Norwich,Crystal Palace,0,15.659999999999854,0.20000000000000018,0.0,0
E1,2000-09-16,Nottm Forest,Fulham,2,-27.180000000000064,-4.999999999999998,0.0,0
E1,2000-09-16,Preston,Stockport,0,20.579999999999927,3.0000000000000004,0.0,0
E1,2000-09-16,Tranmere,Sheffield Weds,1,-96.23000000000002,3.8,0.0,0
E1,2000-09-16,Watford,Crewe,1,139.82000000000016,6.199999999999999,0.0,0
E1,2000-09-16,Wimbledon,Wolves,0,52.54000000000019,5.2,0.0,0
F1,2000-09-16,Bastia,Rennes,2,49.38000000000011,2.799999999999999,0.0,0
F1,2000-09-16,Guingamp,Auxerre,1,-51.3599999999999,0.7999999999999998,0.0,0
F1,2000-09-16,Lens,Paris SG,0,30.6400000000001,-1.5999999999999996,0.0,0
F1,2000-09-16,Marseille,Bordeaux,2,-25.049999999999955,2.0,0.0,0
F1,2000-09-16,Metz,Sedan,1,45.76999999999998,1.1999999999999993,0.0,0
F1,2000-09-16,Monaco,Toulouse,1,180.62000000000012,-1.0,0.0,0
F1,2000-09-16,Troyes,Strasbourg,2,26.680000000000064,4.6,0.0,0
SP1,2000-09-16,Ath Bilbao,Barcelona,1,-124.01999999999998,-11.399999999999999,0.0,0
SP1,2000-09-16,Malaga,Real Madrid,0,-153.7199999999998,-11.399999999999999,0.0,0
SP1,2000-09-16,Santander,La Coruna,2,-93.12000000000012,-7.599999999999999,0.0,0
SP1,2000-09-16,Valencia,Mallorca,1,105.29999999999995,-3.8,0.0,0
SP1,2000-09-16,Valladolid,Numancia,1,71.86000000000013,-7.599999999999999,0.0,0
D1,2000-09-16,Bayern Munich,Unterhaching,1,265.8900000000001,5.6,0.0,0
D1,2000-09-16,Bochum,Wolfsburg,1,-106.36999999999989,-5.199999999999999,0.0,0
D1,2000-09-16,Ein Frankfurt,Munich 1860,1,-42.100000000000136,-3.1999999999999993,0.0,0
D1,2000-09-16,Freiburg,Cottbus,1,94.32999999999993,1.6,0.0,0
D1,2000-09-16,Hamburg,Dortmund,2,56.08999999999992,-0.8000000000000007,0.0,0
D1,2000-09-16,Leverkusen,Hansa Rostock,2,201.3800000000001,5.0,0.0,0
D1,2000-09-17,Hertha,Stuttgart,1,14.25,0.0,0.0,0
D1,2000-09-17,Schalke 04,Werder Bremen,0,-5.170000000000073,7.800000000000001,0.0,0
E1,2000-09-17,West Brom,Birmingham,0,-127.06000000000017,-2.0,0.0,1
SP1,2000-09-17,Alaves,Villarreal,2,150.08999999999992,11.399999999999999,0.0,0
SP1,2000-09-17,Celta,Sociedad,1,43.210000000000036,7.599999999999999,0.0,0
SP1,2000-09-17,Espanol,Osasuna,2,189.06999999999994,11.399999999999999,0.0,0
SP1,2000-09-17,Oviedo,Las Palmas,0,75.8900000000001,0.0,0.0,0
SP1,2000-09-17,Vallecano,Zaragoza,0,-104.25999999999999,11.399999999999999,0.0,0
F1,2000-09-17,Nantes,Lyon,2,-44.059999999999945,-3.0,0.0,0
F1,2000-09-17,St Etienne,Lille,0,-13.309999999999945,-1.6,0.0,0
D1,2000-09-22,Munich 1860,Freiburg,1,48.080000000000155,-1.0,0.0,0
E1,2000-09-23,Birmingham,Tranmere,1,113.05000000000018,2.200000000000001,0.0,0
E1,2000-09-23,Blackburn,Bolton,0,-61.669999999999845,-6.799999999999999,0.0,0
E1,2000-09-23,Crewe,Barnsley,0,-120.20000000000005,-2.0,0.0,0
E1,2000-09-23,Crystal Palace,Sheffield United,2,-12.309999999999945,-1.2000000000000002,0.0,0
E1,2000-09-23,Fulham,Gillingham,1,138.08000000000015,5.799999999999999,0.0,0
E1,2000-09-23,Grimsby,Nottm Forest,2,-123.03999999999996,-0.20000000000000018,0.0,0
E1,2000-09-23,Huddersfield,Burnley,2,39.42000000000007,-4.0,0.0,0
E1,2000-09-23,Portsmouth,West Brom,2,-9.539999999999964,-3.2,0.0,0
E1,2000-09-23,QPR,Wimbledon,1,-79.69000000000005,-4.6000000000000005,0.0,0
E1,2000-09-23,Sheffield Weds,Preston,2,116.12999999999988,-2.0000000000000004,0.0,0
E1,2000-09-23,Stockport,Watford,2,-133.29999999999995,-8.2,0.0,0
D1,2000-09-23,FC Koln,Bayern Munich,2,-277.8600000000001,-5.2,0.0,0
D1,2000-09-23,Cottbus,Leverkusen,2,-259.1400000000001,-2.2,0.0,0
D1,2000-09-23,Dortmund,Schalke 04,2,5.410000000000082,1.0,0.0,1
D1,2000-09-23,Stuttgart,Bochum,0,90.08999999999992,0.0,0.0,0
D1,2000-09-23,Werder Bremen,Ein Frankfurt,0,28.13000000000011,-4.999999999999999,0.0,0
D1,2000-09-23,Wolfsburg,Hamburg,0,-43.98000000000002,-2.2,0.0,0
SP1,2000-09-23,Barcelona,Santander,1,138.61000000000013,3.8,0.0,0
SP1,2000-09-23,Las Palmas,Valladolid,0,-128.1500000000001,-5.199999999999999,0.0,0
SP1,2000-09-23,Real Madrid,Ath Bilbao,1,114.92999999999984,1.3999999999999995,0.0,0
SP1,2000-09-23,Sociedad,La Coruna,0,-76.43000000000006,-8.999999999999998,0.0,0
SP1,2000-09-23,Zaragoza,Alaves,0,50.61999999999989,-3.8,0.0,0
F1,2000-09-23,Auxerre,Marseille,2,-45.49000000000001,-2.0,0.0,0
F1,2000-09-23,Bordeaux,Toulouse,1,152.80999999999995,3.0000000000000004,0.0,0
F1,2000-09-23,Lyon,Guingamp,2,125.59999999999991,-0.8000000000000007,0.0,0
F1,2000-09-23,Metz,Monaco,2,-50.66000000000008,5.6,0.0,0
F1,2000-09-23,Paris SG,Nantes,1,44.50999999999999,2.6,0.0,0
F1,2000-09-23,Rennes,Troyes,2,29.519999999999982,-1.9999999999999991,0.0,0
F1,2000-09-23,Sedan,Bastia,0,-52.460000000000036,-2.999999999999999,0.0,0
F1,2000-09-23,Strasbourg,St Etienne,1,-42.77000000000021,1.0,0.0,0
F1,2000-09-24,Lille,Lens,1,-100.45000000000005,-3.3999999999999995,0.0,1
SP1,2000-09-24,Celta,Espanol,1,20.019999999999982,5.199999999999998,0.0,0
SP1,2000-09-24,Mallorca,Malaga,2,63.62999999999988,0.0,0.0,0
SP1,2000-09-24,Numancia,Valencia,2,-205.51,0.0,0.0,0
SP1,2000-09-24,Osasuna,Vallecano,0,-123.19999999999982,-1.3999999999999995,0.0,0
SP1,2000-09-24,Villarreal,Oviedo,1,-81.25999999999999,3.8,0.0,0
D1,2000-09-24,Hansa Rostock,Kaiserslautern,1,-60.0,-3.0,0.0,0
D1,2000-09-24,Unterhaching,Hertha,1,-67.25,-5.799999999999999,0.0,0
E1,2000-09-24,Wolves,Norwich,1,61.02999999999997,-3.0,0.0,0
D1,2000-09-29,Ein Frankfurt,Dortmund,0,-28.37000000000012,-1.9999999999999991,0.0,0
E1,2000-09-30,Barnsley,Grimsby,1,137.33999999999992,1.7999999999999998,0.0,0
E1,2000-09-30,Bolton,Fulham,2,55.429999999999836,-1.9999999999999982,0.0,0
E1,2000-09-30,Burnley,Portsmouth,0,-6.039999999999964,2.5999999999999996,0.0,0
E1,2000-09-30,Gillingham,Sheffield Weds,1,-148.23000000000002,4.8,0.0,0
E1,2000-09-30,Norwich,Huddersfield,0,-7.110000000000127,4.0,0.0,0
E1,2000-09-30,Nottm Forest,Wolves,0,-4.849999999999909,2.1999999999999993,0.0,0
E1,2000-09-30,Preston,Crystal Palace,1,-6.960000000000036,1.5999999999999996,0.0,0
E1,2000-09-30,Sheffield United,QPR,0,-37.23000000000002,2.5999999999999996,0.0,0
E1,2000-09-30,Tranmere,Crewe,2,47.0,2.8000000000000003,0.0,0
E1,2000-09-30,West Brom,Blackburn,1,-93.85000000000014,6.000000000000002,0.0,0
E1,2000-09-30,Wimbledon,Stockport,1,156.76999999999998,4.199999999999999,0.0,0
F1,2000-09-30,Bastia,Metz,1,6.690000000000055,-1.9999999999999991,0.0,0
F1,2000-09-30,Guingamp,Paris SG,0,-126.04999999999995,2.0,0.0,0
F1,2000-09-30,Lens,Strasbourg,0,156.5300000000002,-4.6,0.0,0
F1,2000-09-30,Monaco,Bordeaux,0,27.810000000000173,-1.1999999999999993,0.0,0
F1,2000-09-30,St Etienne,Rennes,2,-13.429999999999836,-3.1999999999999997,0.0,0
F1,2000-09-30,Toulouse,Auxerre,2,-82.26999999999998,1.1999999999999997,0.0,0
F1,2000-09-30,Troyes,Sedan,0,-26.440000000000055,1.9999999999999991,0.0,0
D1,2000-09-30,Bayern Munich,Hansa Rostock,2,279.6400000000001,1.4000000000000004,0.0,0
D1,2000-09-30,Bochum,Unterhaching,1,-37.08999999999992,-0.40000000000000036,0.0,0
D1,2000-09-30,Hamburg,Schalke 04,1,61.5,-2.2,0.0,0
D1,2000-09-30,Hertha,FC Koln,1,79.22000000000003,2.8000000000000003,0.0,0
D1,2000-09-30,Kaiserslautern,Cottbus,0,117.75999999999999,2.2,0.0,0
D1,2000-09-30,Leverkusen,Munich 1860,0,116.73000000000002,-1.2000000000000002,0.0,0
I1,2000-09-30,Bari,Verona,0,-28.63000000000011,0.0,0.0,0
I1,2000-09-30,Napoli,Juventus,2,-253.82999999999993,0.0,0.0,0
SP1,2000-09-30,Santander,Real Madrid,0,-129.51999999999998,-7.6,0.0,0
E1,2000-10-01,Watford,Birmingham,1,-12.460000000000036,1.9999999999999982,0.0,0
SP1,2000-10-01,Alaves,Osasuna,1,154.59000000000015,0.0,0.0,1
SP1,2000-10-01,Ath Bilbao,Mallorca,1,0.2799999999999727,2.4,0.0,0
SP1,2000-10-01,La Coruna,Barcelona,1,12.569999999999936,1.4000000000000004,0.0,0
SP1,2000-10-01,Malaga,Numancia,2,64.18000000000006,1.4000000000000004,0.0,0
SP1,2000-10-01,Oviedo,Zaragoza,1,-117.5300000000002,-1.0000000000000004,0.0,0
SP1,2000-10-01,Vallecano,Celta,1,-98.50999999999999,-5.199999999999998,0.0,0
SP1,2000-10-01,Valencia,Las Palmas,1,276.47,5.199999999999999,0.0,0
SP1,2000-10-01,Valladolid,Villarreal,0,117.43000000000006,-1.3999999999999995,0.0,0
D1,2000-10-01,Freiburg,Werder Bremen,2,-38.75999999999999,2.8000000000000007,0.0,0
D1,2000-10-01,Wolfsburg,Stuttgart,0,16.00999999999999,0.0,0.0,0
F1,2000-10-01,Marseille,Lyon,0,-19.679999999999836,-2.1999999999999993,0.0,0
